kernel,ltimes,lplustimes,population,scattering,source,sweep,percent_of_fastest
0,0,0,0,3,2,4,7.55546074840051
0,0,0,0,4,0,0,10.565910834897322
0,0,0,0,4,0,1,12.402484215758527
0,0,0,0,4,0,2,12.289000215430988
0,0,0,0,4,0,3,9.770111402376871
0,0,0,0,4,0,4,6.100199390699082
0,0,0,0,4,1,0,10.65380675914512
0,0,0,0,4,1,1,12.442552079393588
0,0,0,0,4,1,2,12.191433714973883
0,0,0,0,4,1,3,9.799642612889572
0,0,0,0,4,1,4,6.090641745334293
0,0,0,0,4,2,0,10.669802694620296
0,0,0,0,4,2,1,12.313198215479117
0,0,0,0,4,2,2,12.289634681448371
0,0,0,0,4,2,3,9.743995220602399
0,0,0,0,4,2,4,6.088277178778891
0,0,0,0,5,0,0,12.160889001463831
0,0,0,0,5,0,1,14.745910117067808
0,0,0,0,5,0,2,14.567335652563289
0,0,0,0,5,0,3,11.145948291799833
0,0,0,0,5,0,4,6.420054448272047
0,0,0,0,5,1,0,12.143516131000766
0,0,0,0,5,1,1,14.828131985029396
0,0,0,0,5,1,2,14.649072944537487
0,0,0,0,5,1,3,11.1660056311015
0,0,0,0,5,1,4,6.428527546871845
0,0,0,0,5,2,0,12.106526556858464
0,0,0,0,5,2,1,14.754205400919693
0,0,0,0,5,2,2,14.567779162789032
0,0,0,0,5,2,3,11.187366397677716
0,0,0,0,5,2,4,6.441569622112041
0,0,0,1,0,0,0,10.334245732425517
0,0,0,1,0,0,1,12.39630710389219
0,0,0,1,0,0,2,12.174304775134978
0,0,0,1,0,0,3,9.828643664419467
0,0,0,1,0,0,4,6.10387929359991
0,0,0,1,0,1,0,10.324537786373115
0,0,0,1,0,1,1,12.357871193624819
0,0,0,1,0,1,2,12.240277742529665
0,0,0,1,0,1,3,9.890126912093729
0,0,0,1,0,1,4,6.104328963689901
0,0,0,1,0,2,0,10.303236154493666
0,0,0,1,0,2,1,12.263610486979978
0,0,0,1,0,2,2,12.116569188868255
0,0,0,1,0,2,3,9.798331383120313
0,0,0,1,0,2,4,6.114875061937435
0,0,0,1,1,0,0,13.98398418869619
0,0,0,1,1,0,1,17.978044272669106
0,0,0,1,1,0,2,17.906639126324283
0,0,0,1,1,0,3,13.20644916432407
0,0,0,1,1,0,4,7.251521137409899
0,0,0,1,1,1,0,14.014923133518016
0,0,0,1,1,1,1,17.691117796069566
0,0,0,1,1,1,2,18.029413433908314
0,0,0,1,1,1,3,13.116022357186218
0,0,0,1,1,1,4,7.31577303873413
0,0,0,1,1,2,0,13.971397532752613
0,0,0,1,1,2,1,18.068754433562294
0,0,0,1,1,2,2,17.781035387763044
0,0,0,1,1,2,3,13.194650971004043
0,0,0,1,1,2,4,7.318577830254346
0,0,0,1,2,0,0,14.164406612474645
0,0,0,1,2,0,1,18.197039766358813
0,0,0,1,2,0,2,18.04874719448983
0,0,0,1,2,0,3,13.371406222267778
0,0,0,1,2,0,4,7.262141564686008
0,0,0,1,2,1,0,14.158657405844627
0,0,0,1,2,1,1,18.40167866977814
0,0,0,1,2,1,2,18.188288652552696
0,0,0,1,2,1,3,13.281353113560876
0,0,0,1,2,1,4,7.320290683172476
0,0,0,1,2,2,0,14.17497693952155
0,0,0,1,2,2,1,18.43020705439152
0,0,0,1,2,2,2,18.13846356395126
0,0,0,1,2,2,3,13.226111450998735
0,0,0,1,2,2,4,7.300523268148008
0,0,0,1,3,0,0,12.807248895392611
0,0,0,1,3,0,1,15.865736477886538
0,0,0,1,3,0,2,15.99688820084574
0,0,0,1,3,0,3,12.196255246048386
0,0,0,1,3,0,4,6.917246658951232
0,0,0,1,3,1,0,12.870436782832671
0,0,0,1,3,1,1,16.241652459966428
0,0,0,1,3,1,2,15.978338796311604
0,0,0,1,3,1,3,12.219116555555038
0,0,0,1,3,1,4,6.931862784835204
0,0,0,1,3,2,0,12.631427890206252
0,0,0,1,3,2,1,16.008049874860305
0,0,0,1,3,2,2,16.142178865538625
0,0,0,1,3,2,3,12.137527921637984
0,0,0,1,3,2,4,6.9672109604846355
0,0,0,1,4,0,0,9.098694002008772
0,0,0,1,4,0,1,10.783379503569149
0,0,0,1,4,0,2,10.754844959091521
0,0,0,1,4,0,3,8.69650578826017
0,0,0,1,4,0,4,5.701726807063935
0,0,0,1,4,1,0,9.07195444197256
0,0,0,1,4,1,1,10.557595428822236
0,0,0,1,4,1,2,10.523282521023821
0,0,0,1,4,1,3,8.740415353896934
0,0,0,1,4,1,4,5.712120961993391
0,0,0,1,4,2,0,9.124486585581499
0,0,0,1,4,2,1,10.683101020213144
0,0,0,1,4,2,2,10.552179265519142
0,0,0,1,4,2,3,8.7071467484171
0,0,0,1,4,2,4,5.683612288945599
0,0,0,1,5,0,0,10.26949077552116
0,0,0,1,5,0,1,12.336821294864242
0,0,0,1,5,0,2,12.231701979525761
0,0,0,1,5,0,3,9.808286545057806
0,0,0,1,5,0,4,6.125912306694221
0,0,0,1,5,1,0,10.35366655242172
0,0,0,1,5,1,1,12.275720369430877
0,0,0,1,5,1,2,12.24510954004458
0,0,0,1,5,1,3,9.840067337993313
0,0,0,1,5,1,4,6.1225440929242625
0,0,0,1,5,2,0,10.283160335599261
0,0,0,1,5,2,1,12.356823195387692
0,0,0,1,5,2,2,12.30466392889447
0,0,0,1,5,2,3,9.80421898136707
0,0,0,1,5,2,4,6.105199147179115
0,0,0,2,0,0,0,10.297429866454964
0,0,0,2,0,0,1,12.423682361918637
0,0,0,2,0,0,2,12.34395318568878
0,0,0,2,0,0,3,9.902413787977308
0,0,0,2,0,0,4,6.106544050872923
0,0,0,2,0,1,0,10.372429088258782
0,0,0,2,0,1,1,12.404788004986699
0,0,0,2,0,1,2,12.190761468455788
0,0,0,2,0,1,3,9.806866080362575
0,0,0,2,0,1,4,6.108430201305185
0,0,0,2,0,2,0,10.381344465111473
0,0,0,2,0,2,1,12.332128710281301
0,0,0,2,0,2,2,12.363360864641253
0,0,0,2,0,2,3,9.801908621617033
0,0,0,2,0,2,4,6.124086522931574
0,0,0,2,1,0,0,14.074029084250762
0,0,0,2,1,0,1,18.225091788137135
0,0,0,2,1,0,2,17.91525882969314
0,0,0,2,1,0,3,13.154041039315294
0,0,0,2,1,0,4,7.2351129016878275
0,0,0,2,1,1,0,14.111427673379032
0,0,0,2,1,1,1,18.29016048746045
0,0,0,2,1,1,2,17.64751417035704
0,0,0,2,1,1,3,13.280232018268023
0,0,0,2,1,1,4,7.24570540424602
0,0,0,2,1,2,0,13.898945209485897
0,0,0,2,1,2,1,18.16326728398362
0,0,0,2,1,2,2,17.90193299003999
0,0,0,2,1,2,3,13.27560390693086
0,0,0,2,1,2,4,7.237254891815127
0,0,0,2,2,0,0,14.068977995568675
0,0,0,2,2,0,1,18.455281808450724
0,0,0,2,2,0,2,18.210788583356887
0,0,0,2,2,0,3,13.364240246861078
0,0,0,2,2,0,4,7.3059895316803045
0,0,0,2,2,1,0,14.13951254776667
0,0,0,2,2,1,1,18.569173591791383
0,0,0,2,2,1,2,18.14392120367361
0,0,0,2,2,1,3,13.385643721829403
0,0,0,2,2,1,4,7.329713222181458
0,0,0,2,2,2,0,14.024544841470968
0,0,0,2,2,2,1,18.30885362216034
0,0,0,2,2,2,2,18.102999172196377
0,0,0,2,2,2,3,13.365139587041059
0,0,0,2,2,2,4,7.358210807473608
0,0,0,2,3,0,0,12.890723269084306
0,0,0,2,3,0,1,16.24530320617649
0,0,0,2,3,0,2,15.957206355370126
0,0,0,2,3,0,3,12.133154828680624
0,0,0,2,3,0,4,6.924178970174183
0,0,0,2,3,1,0,12.726891413009618
0,0,0,2,3,1,1,16.272176640595656
0,0,0,2,3,1,2,16.073278730654025
0,0,0,2,3,1,3,12.186389196813659
0,0,0,2,3,1,4,6.917522620869473
0,0,0,2,3,2,0,12.938876981186873
0,0,0,2,3,2,1,16.191277090158977
0,0,0,2,3,2,2,16.06846992996563
0,0,0,2,3,2,3,12.148502335779456
0,0,0,2,3,2,4,6.9775628176795985
0,0,0,2,4,0,0,9.167146930749082
0,0,0,2,4,0,1,10.75725592995758
0,0,0,2,4,0,2,10.628493002353151
0,0,0,2,4,0,3,8.770403215679105
0,0,0,2,4,0,4,5.716167992803307
0,0,0,2,4,1,0,9.005262823749119
0,0,0,2,4,1,1,10.588782000186768
0,0,0,2,4,1,2,10.57049377389668
0,0,0,2,4,1,3,8.77465064740584
0,0,0,2,4,1,4,5.707915006685918
0,0,0,2,4,2,0,9.150192931054777
0,0,0,2,4,2,1,10.79932780276082
0,0,0,2,4,2,2,10.49679469410648
0,0,0,2,4,2,3,8.738370689624729
0,0,0,2,4,2,4,5.713281069759806
0,0,0,2,5,0,0,10.325897884398731
0,0,0,2,5,0,1,12.345805662196497
0,0,0,2,5,0,2,12.350113460592844
0,0,0,2,5,0,3,9.874315772545947
0,0,0,2,5,0,4,6.128808264205284
0,0,0,2,5,1,0,10.274208820876323
0,0,0,2,5,1,1,12.208890770248317
0,0,0,2,5,1,2,12.081655488977006
0,0,0,2,5,1,3,9.897755698634144
0,0,0,2,5,1,4,6.137255902032862
0,0,0,2,5,2,0,10.282242105168923
0,0,0,2,5,2,1,12.386008632187362
0,0,0,2,5,2,2,12.20964473763208
0,0,0,2,5,2,3,9.881654634809165
0,0,0,2,5,2,4,6.123246317448358
0,0,0,3,0,0,0,10.292147577534829
0,0,0,3,0,0,1,12.451542195932468
0,0,0,3,0,0,2,12.438741176713117
0,0,0,3,0,0,3,9.815592144054094
0,0,0,3,0,0,4,6.099833494762843
0,0,0,3,0,1,0,10.329199160977211
0,0,0,3,0,1,1,12.590245091142584
0,0,0,3,0,1,2,12.418590207474905
0,0,0,3,0,1,3,9.88895571657167
0,0,0,3,0,1,4,6.143213722732027
0,0,0,3,0,2,0,10.448518195376604
0,0,0,3,0,2,1,12.515172772283043
0,0,0,3,0,2,2,12.352488293588658
0,0,0,3,0,2,3,9.891213101489186
0,0,0,3,0,2,4,6.107370293997179
0,0,0,3,1,0,0,14.161495049974159
0,0,0,3,1,0,1,18.325526321387386
0,0,0,3,1,0,2,18.45723243212877
0,0,0,3,1,0,3,12.217805325785775
0,0,0,3,1,0,4,7.198075280604403
0,0,0,3,1,1,0,14.311023701268596
0,0,0,3,1,1,1,18.50851124869236
0,0,0,3,1,1,2,18.292472489840947
0,0,0,3,1,1,3,13.087748580295022
0,0,0,3,1,1,4,7.172298712678717
0,0,0,3,1,2,0,14.184528835679709
0,0,0,3,1,2,1,18.543918148380943
0,0,0,3,1,2,2,18.34400591412673
0,0,0,3,1,2,3,13.108059706003642
0,0,0,3,1,2,4,7.234349489178885
0,0,0,3,2,0,0,14.114281743813217
0,0,0,3,2,0,1,18.797129634671595
0,0,0,3,2,0,2,18.4188564778734
0,0,0,3,2,0,3,13.421555730386194
0,0,0,3,2,0,4,7.176993350549743
0,0,0,3,2,1,0,14.41336368585908
0,0,0,3,2,1,1,18.673690061748946
0,0,0,3,2,1,2,18.5995499356787
0,0,0,3,2,1,3,13.345021470412162
0,0,0,3,2,1,4,7.172819837193967
0,0,0,3,2,2,0,14.31150417067982
0,0,0,3,2,2,1,18.876616522907756
0,0,0,3,2,2,2,18.343274943569483
0,0,0,3,2,2,3,13.373792143019237
0,0,0,3,2,2,4,7.21872150292803
0,0,0,3,3,0,0,12.802489373618188
0,0,0,3,3,0,1,16.2951775736919
0,0,0,3,3,0,2,16.024213358642985
0,0,0,3,3,0,3,12.149467381178068
0,0,0,3,3,0,4,6.906200790384502
0,0,0,3,3,1,0,12.623283317699597
0,0,0,3,3,1,1,16.46362932795142
0,0,0,3,3,1,2,16.11820467389145
0,0,0,3,3,1,3,12.016585557680846
0,0,0,3,3,1,4,6.902438345302772
0,0,0,3,3,2,0,12.725778530869093
0,0,0,3,3,2,1,16.391291988817304
0,0,0,3,3,2,2,16.073282837230185
0,0,0,3,3,2,3,12.30002965769306
0,0,0,3,3,2,4,6.923279219336586
0,0,0,3,4,0,0,9.226078351994849
0,0,0,3,4,0,1,10.791295750441067
0,0,0,3,4,0,2,10.640087920153048
0,0,0,3,4,0,3,8.612269644689995
0,0,0,3,4,0,4,5.599854972156183
0,0,0,3,4,1,0,9.17865766373761
0,0,0,3,4,1,1,10.787643361600539
0,0,0,3,4,1,2,10.712834684930748
0,0,0,3,4,1,3,8.585828632740927
0,0,0,3,4,1,4,5.649218892254365
0,0,0,3,4,2,0,9.264290864518879
0,0,0,3,4,2,1,10.895323127177463
0,0,0,3,4,2,2,10.600601547702851
0,0,0,3,4,2,3,8.578798174347648
0,0,0,3,4,2,4,5.669374378726359
0,0,0,3,5,0,0,10.436147134681653
0,0,0,3,5,0,1,12.47178679510723
0,0,0,3,5,0,2,12.410737201875918
0,0,0,3,5,0,3,9.89183237317476
0,0,0,3,5,0,4,6.156129726083979
0,0,0,3,5,1,0,10.361641933990404
0,0,0,3,5,1,1,12.578590627988305
0,0,0,3,5,1,2,12.365952114200928
0,0,0,3,5,1,3,9.751909414186235
0,0,0,3,5,1,4,6.050327897786992
0,0,0,3,5,2,0,10.445526965298528
0,0,0,3,5,2,1,11.805683714953352
0,0,0,3,5,2,2,12.424828096668476
0,0,0,3,5,2,3,9.810736939055042
0,0,0,3,5,2,4,6.085793932172339
0,0,1,0,0,0,0,14.918230266074104
0,0,1,0,0,0,1,18.550094438932053
0,0,1,0,0,0,2,18.69811597677419
0,0,1,0,0,0,3,13.443324690633139
0,0,1,0,0,0,4,7.365247015073517
0,0,1,0,0,1,0,14.897073185675639
0,0,1,0,0,1,1,18.800928217623568
0,0,1,0,0,1,2,18.62219359664864
0,0,1,0,0,1,3,13.452018312372958
0,0,1,0,0,1,4,7.351306831626189
0,0,1,0,0,2,0,14.811746746133844
0,0,1,0,0,2,1,18.92053635498493
0,0,1,0,0,2,2,18.548525726837287
0,0,1,0,0,2,3,13.516479238423953
0,0,1,0,0,2,4,7.326565120893907
0,0,1,0,1,0,0,24.470237301788917
0,0,1,0,1,0,1,36.58059611552391
0,0,1,0,1,0,2,36.402502120430604
0,0,1,0,1,0,3,20.871139500145905
0,0,1,0,1,0,4,9.199123196710008
0,0,1,0,1,1,0,24.436604443003315
0,0,1,0,1,1,1,37.466171052202554
0,0,1,0,1,1,2,35.87685626482423
0,0,1,0,1,1,3,20.808226753308855
0,0,1,0,1,1,4,9.107265658436512
0,0,1,0,1,2,0,24.414987426074443
0,0,1,0,1,2,1,37.25151210294234
0,0,1,0,1,2,2,36.332177003617
0,0,1,0,1,2,3,20.82469001715153
0,0,1,0,1,2,4,9.11627466522575
0,0,1,0,2,0,0,24.9143635139578
0,0,1,0,2,0,1,38.204541659695764
0,0,1,0,2,0,2,37.6418093147496
0,0,1,0,2,0,3,21.175707827947274
0,0,1,0,2,0,4,9.189662466542698
0,0,1,0,2,1,0,24.964073618426635
0,0,1,0,2,1,1,38.526332967930195
0,0,1,0,2,1,2,37.626614982941696
0,0,1,0,2,1,3,21.22503191425666
0,0,1,0,2,1,4,9.119982492844498
0,0,1,0,2,2,0,24.837270759625426
0,0,1,0,2,2,1,38.47495148696249
0,0,1,0,2,2,2,35.9484626334011
0,0,1,0,2,2,3,21.175683188490286
0,0,1,0,2,2,4,9.07460359425615
0,0,1,0,3,0,0,21.033911859570207
0,0,1,0,3,0,1,30.4362383006725
0,0,1,0,3,0,2,29.416817727070875
0,0,1,0,3,0,3,18.381544126844584
0,0,1,0,3,0,4,8.668791327042552
0,0,1,0,3,1,0,21.049730390955087
0,0,1,0,3,1,1,30.586029772841457
0,0,1,0,3,1,2,29.496448345472785
0,0,1,0,3,1,3,18.447015270631994
0,0,1,0,3,1,4,8.700434549676556
0,0,1,0,3,2,0,21.04403867639137
0,0,1,0,3,2,1,30.438073940217947
0,0,1,0,3,2,2,29.45360854292682
0,0,1,0,3,2,3,18.37453830790829
0,0,1,0,3,2,4,8.629293045521479
0,0,1,0,4,0,0,12.678125821058572
0,0,1,0,4,0,1,15.330119855353246
0,0,1,0,4,0,2,15.156625225563962
0,0,1,0,4,0,3,11.662722710918475
0,0,1,0,4,0,4,6.8001287493759035
0,0,1,0,4,1,0,12.504245173109844
0,0,1,0,4,1,1,15.29842530051719
0,0,1,0,4,1,2,15.11076708953724
0,0,1,0,4,1,3,11.733110658347401
0,0,1,0,4,1,4,6.760855508228635
0,0,1,0,4,2,0,12.577904829768869
0,0,1,0,4,2,1,15.210766325714076
0,0,1,0,4,2,2,15.121826099147697
0,0,1,0,4,2,3,11.503850366877408
0,0,1,0,4,2,4,6.7604510104764515
0,0,1,0,5,0,0,14.879841992090242
0,0,1,0,5,0,1,18.757747569255972
0,0,1,0,5,0,2,18.45802910790464
0,0,1,0,5,0,3,13.45850670271255
0,0,1,0,5,0,4,7.354191701381609
0,0,1,0,5,1,0,14.83934293795793
0,0,1,0,5,1,1,18.80743303426782
0,0,1,0,5,1,2,18.574339664606068
0,0,1,0,5,1,3,13.48522819381364
0,0,1,0,5,1,4,7.330625703405165
0,0,1,0,5,2,0,14.889434954010042
0,0,1,0,5,2,1,18.903354440313503
0,0,1,0,5,2,2,18.610309165229165
0,0,1,0,5,2,3,13.383857361197931
0,0,1,0,5,2,4,7.289563227023112
0,0,1,1,0,0,0,12.19160865511848
0,0,1,1,0,0,1,15.251203781203921
0,0,1,1,0,0,2,15.057102352222188
0,0,1,1,0,0,3,11.574523310692136
0,0,1,1,0,0,4,6.740232693389143
0,0,1,1,0,1,0,12.199862873208723
0,0,1,1,0,1,1,15.19951841360006
0,0,1,1,0,1,2,14.98407921486863
0,0,1,1,0,1,3,11.474947462517841
0,0,1,1,0,1,4,6.792914316370464
0,0,1,1,0,2,0,12.174762247719679
0,0,1,1,0,2,1,15.30814967287425
0,0,1,1,0,2,2,14.90093336727008
0,0,1,1,0,2,3,11.180092829975509
0,0,1,1,0,2,4,6.7127391659691655
0,0,1,1,1,0,0,17.949097017286963
0,0,1,1,1,0,1,25.003681545531297
0,0,1,1,1,0,2,24.516000986563856
0,0,1,1,1,0,3,16.680900059652128
0,0,1,1,1,0,4,8.276093410809642
0,0,1,1,1,1,0,18.096826988221437
0,0,1,1,1,1,1,22.943896859890113
0,0,1,1,1,1,2,24.51280196373187
0,0,1,1,1,1,3,16.387723374130527
0,0,1,1,1,1,4,8.244762287964127
0,0,1,1,1,2,0,17.823287949917514
0,0,1,1,1,2,1,24.165089946748385
0,0,1,1,1,2,2,23.985049434553208
0,0,1,1,1,2,3,16.66120492036815
0,0,1,1,1,2,4,8.283356301413821
0,0,1,1,2,0,0,18.160729419914087
0,0,1,1,2,0,1,25.71342931715934
0,0,1,1,2,0,2,25.449470921046725
0,0,1,1,2,0,3,16.929134375631644
0,0,1,1,2,0,4,8.266329615321405
0,0,1,1,2,1,0,18.161177036715994
0,0,1,1,2,1,1,25.680782036653167
0,0,1,1,2,1,2,24.819797278046337
0,0,1,1,2,1,3,16.797966226367787
0,0,1,1,2,1,4,8.35101666095442
0,0,1,1,2,2,0,18.24163307692693
0,0,1,1,2,2,1,25.429525280616726
0,0,1,1,2,2,2,25.12493231335837
0,0,1,1,2,2,3,16.899567027248693
0,0,1,1,2,2,4,8.268090104523042
0,0,1,1,3,0,0,16.00687950065348
0,0,1,1,3,0,1,21.575942954072136
0,0,1,1,3,0,2,21.338488400523904
0,0,1,1,3,0,3,15.058753195840234
0,0,1,1,3,0,4,7.912724250884537
0,0,1,1,3,1,0,16.123415919043946
0,0,1,1,3,1,1,21.67439811761119
0,0,1,1,3,1,2,21.41813133865431
0,0,1,1,3,1,3,15.023621436754661
0,0,1,1,3,1,4,7.838692538425029
0,0,1,1,3,2,0,15.946570323104593
0,0,1,1,3,2,1,21.734325383576802
0,0,1,1,3,2,2,21.103025536415355
0,0,1,1,3,2,3,15.014069540596504
0,0,1,1,3,2,4,7.856060891654312
0,0,1,1,4,0,0,10.645932810007693
0,0,1,1,4,0,1,12.984648879114141
0,0,1,1,4,0,2,12.792695189466338
0,0,1,1,4,0,3,10.096545194965044
0,0,1,1,4,0,4,6.296950793279638
0,0,1,1,4,1,0,10.722791900156322
0,0,1,1,4,1,1,12.917461186490057
0,0,1,1,4,1,2,12.71811565974651
0,0,1,1,4,1,3,10.173637127982184
0,0,1,1,4,1,4,6.177253132557897
0,0,1,1,4,2,0,10.654923747861808
0,0,1,1,4,2,1,13.052510050229175
0,0,1,1,4,2,2,12.795035937879987
0,0,1,1,4,2,3,10.126706764918964
0,0,1,1,4,2,4,6.329688829119043
0,0,1,1,5,0,0,12.169322266274833
0,0,1,1,5,0,1,15.314391668643983
0,0,1,1,5,0,2,15.056465832916722
0,0,1,1,5,0,3,11.60474935389184
0,0,1,1,5,0,4,6.787576588672109
0,0,1,1,5,1,0,12.162692199057574
0,0,1,1,5,1,1,15.10898072890577
0,0,1,1,5,1,2,13.86510291531591
0,0,1,1,5,1,3,11.57655524457823
0,0,1,1,5,1,4,6.748488964767467
0,0,1,1,5,2,0,12.203981769101516
0,0,1,1,5,2,1,15.161721486583858
0,0,1,1,5,2,2,14.901672550979654
0,0,1,1,5,2,3,11.52483209647366
0,0,1,1,5,2,4,6.728190980102571
0,0,1,2,0,0,0,12.157327778614151
0,0,1,2,0,0,1,15.321512471712879
0,0,1,2,0,0,2,14.947436235754596
0,0,1,2,0,0,3,11.207922275325728
0,0,1,2,0,0,4,6.749083596996056
0,0,1,2,0,1,0,12.142633217125441
0,0,1,2,0,1,1,15.220289475839083
0,0,1,2,0,1,2,15.151216864755582
0,0,1,2,0,1,3,11.546142352163054
0,0,1,2,0,1,4,6.788719038161016
0,0,1,2,0,2,0,12.184169592396856
0,0,1,2,0,2,1,15.28626162191854
0,0,1,2,0,2,2,15.087449950076355
0,0,1,2,0,2,3,11.537266809099156
0,0,1,2,0,2,4,6.770337592592
0,0,1,2,1,0,0,17.97230327919141
0,0,1,2,1,0,1,25.083739247854293
0,0,1,2,1,0,2,24.78114207661179
0,0,1,2,1,0,3,16.518866883937402
0,0,1,2,1,0,4,8.25645987016813
0,0,1,2,1,1,0,18.05939554648386
0,0,1,2,1,1,1,24.79634462157203
0,0,1,2,1,1,2,24.598029845445723
0,0,1,2,1,1,3,16.779392182376665
0,0,1,2,1,1,4,8.284170635467202
0,0,1,2,1,2,0,17.785310333550083
0,0,1,2,1,2,1,25.115076530564057
0,0,1,2,1,2,2,24.837821040831443
0,0,1,2,1,2,3,16.76030070978884
0,0,1,2,1,2,4,8.27003415767922
0,0,1,2,2,0,0,18.213991712765036
0,0,1,2,2,0,1,25.866584075206855
0,0,1,2,2,0,2,24.425151202081082
0,0,1,2,2,0,3,16.768731510654145
0,0,1,2,2,0,4,8.30102114944217
0,0,1,2,2,1,0,18.327509797674743
0,0,1,2,2,1,1,25.972188787847955
0,0,1,2,2,1,2,25.016629580177327
0,0,1,2,2,1,3,16.859823583130616
0,0,1,2,2,1,4,8.337056355283886
0,0,1,2,2,2,0,18.129318218833365
0,0,1,2,2,2,1,25.48671756685691
0,0,1,2,2,2,2,25.50692192158526
0,0,1,2,2,2,3,16.81362870785842
0,0,1,2,2,2,4,8.319941788461557
0,0,1,2,3,0,0,16.18309268386353
0,0,1,2,3,0,1,21.926734903178843
0,0,1,2,3,0,2,21.609185688122135
0,0,1,2,3,0,3,15.12980517663493
0,0,1,2,3,0,4,7.850750678016258
0,0,1,2,3,1,0,16.03188854949406
0,0,1,2,3,1,1,21.736805755580036
0,0,1,2,3,1,2,21.373012386337155
0,0,1,2,3,1,3,14.948688741484707
0,0,1,2,3,1,4,7.936047139552053
0,0,1,2,3,2,0,16.229373797235173
0,0,1,2,3,2,1,21.6847959684592
0,0,1,2,3,2,2,21.178040363208595
0,0,1,2,3,2,3,14.521875854424502
0,0,1,2,3,2,4,7.925342527464577
0,0,1,2,4,0,0,10.638489640709901
0,0,1,2,4,0,1,13.074435060370368
0,0,1,2,4,0,2,12.808275539433685
0,0,1,2,4,0,3,10.162678729487753
0,0,1,2,4,0,4,6.28535135824596
0,0,1,2,4,1,0,10.634658615806229
0,0,1,2,4,1,1,13.017784842183866
0,0,1,2,4,1,2,12.82066097314521
0,0,1,2,4,1,3,10.102731341298941
0,0,1,2,4,1,4,6.220490862334181
0,0,1,2,4,2,0,10.69365245700969
0,0,1,2,4,2,1,12.874892417970935
0,0,1,2,4,2,2,12.803877396361722
0,0,1,2,4,2,3,10.069756356014857
0,0,1,2,4,2,4,6.295005918808226
0,0,1,2,5,0,0,12.104326664007248
0,0,1,2,5,0,1,15.321344102090142
0,0,1,2,5,0,2,15.166361917649516
0,0,1,2,5,0,3,11.618742101514071
0,0,1,2,5,0,4,6.768019019689636
0,0,1,2,5,1,0,12.148540116280168
0,0,1,2,5,1,1,15.187301349511273
0,0,1,2,5,1,2,15.1458659960135
0,0,1,2,5,1,3,11.517462024231593
0,0,1,2,5,1,4,6.804144159549355
0,0,1,2,5,2,0,12.206513473306805
0,0,1,2,5,2,1,15.184139285864765
0,0,1,2,5,2,2,14.132832380320204
0,0,1,2,5,2,3,11.5772743060646
0,0,1,2,5,2,4,6.770800814383333
0,0,1,3,0,0,0,12.414902502079364
0,0,1,3,0,0,1,15.087133743711703
