kernel,ltimes,lplustimes,population,scattering,source,sweep,percent_of_fastest
0,0,0,0,0,0,0,12.155487211177311
0,0,0,0,0,0,1,14.812843201969713
0,0,0,0,0,0,2,14.62921354220694
0,0,0,0,0,0,3,11.147809392117495
0,0,0,0,0,0,4,6.409116993316055
0,0,0,0,0,1,0,12.127532104596467
0,0,0,0,0,1,1,14.795792697735545
0,0,0,0,0,1,2,14.564465155824443
0,0,0,0,0,1,3,11.182435631677242
0,0,0,0,0,1,4,6.434658665085142
0,0,0,0,0,2,0,12.14529756374084
0,0,0,0,0,2,1,14.756336713948963
0,0,0,0,0,2,2,14.525136475898956
0,0,0,0,0,2,3,11.15163097189599
0,0,0,0,0,2,4,6.400782286332995
0,0,0,0,1,0,0,17.614587642671697
0,0,0,0,1,0,1,23.59414444947363
0,0,0,0,1,0,2,23.15069171579569
0,0,0,0,1,0,3,15.758653397826293
0,0,0,0,1,0,4,7.931467896471244
0,0,0,0,1,1,0,17.71419264753676
0,0,0,0,1,1,1,23.724947113458867
0,0,0,0,1,1,2,23.12067264403467
0,0,0,0,1,1,3,15.768542033229922
0,0,0,0,1,1,4,7.972419905954478
0,0,0,0,1,2,0,17.727945571110993
0,0,0,0,1,2,1,23.74000592825335
0,0,0,0,1,2,2,23.243935634182254
0,0,0,0,1,2,3,15.674932629564738
0,0,0,0,1,2,4,7.980326297043601
0,0,0,0,2,0,0,17.911501312502807
0,0,0,0,2,0,1,24.080831217009308
0,0,0,0,2,0,2,23.517610189499603
0,0,0,0,2,0,3,15.95741168417834
0,0,0,0,2,0,4,7.981229743799749
0,0,0,0,2,1,0,17.92100803632316
0,0,0,0,2,1,1,24.094362385470674
0,0,0,0,2,1,2,23.695100517896748
0,0,0,0,2,1,3,15.959391053889533
0,0,0,0,2,1,4,7.93413470703234
0,0,0,0,2,2,0,17.882648508372448
0,0,0,0,2,2,1,24.100407265584522
0,0,0,0,2,2,2,23.546955782769675
0,0,0,0,2,2,3,15.983652705868208
0,0,0,0,2,2,4,8.01581532825547
0,0,0,0,3,0,0,15.936443506283432
0,0,0,0,3,0,1,20.7313845001225
0,0,0,0,3,0,2,20.45692148218161
0,0,0,0,3,0,3,14.289550414505479
0,0,0,0,3,0,4,7.565489418051342
0,0,0,0,3,1,0,15.86984305405084
0,0,0,0,3,1,1,20.705291315174545
0,0,0,0,3,1,2,20.255740315892623
0,0,0,0,3,1,3,14.237828087716139
0,0,0,0,3,1,4,7.556685740070319
0,0,0,0,3,2,0,15.871982580232439
0,0,0,0,3,2,1,20.739174675106174
0,0,0,0,3,2,2,20.266889670178696
0,0,0,0,3,2,3,14.248234151716472
